Degrees,Product,Final_Price,Original_Price,Free_Shipping,Merchant,Username,Date,Origin,URL,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Category_7,Category_8,Category_9
171,Amazon: Funko pop: Loki,264.0,,True,Amazon,José_perezjjj,2021-10-25,United States,https://www.promodescuentos.com/ofertas/funko-pop-loki-662682,"Familia, bebés y niños",Juguetes,Figuras de acción y playsets,Funko,,,,,
68,Amazon: L'BEL - Concentré Total Crema para Contorno de Ojos,675.0,4499.0,True,Amazon,musaforever-len,2021-10-25,,https://www.promodescuentos.com/ofertas/lbel-concentre-total-crema-para-contorno-de-ojos-662681,Salud y belleza,Productos de belleza,,,,,,,
721,Liverpool: Singles Day - 1 de Nov - hasta 40% de decuento (Leer descripción),,,False,Liverpool,Rcalz,2021-10-25,,https://www.promodescuentos.com/ofertas/liverpool-singles-day-1-de-nov-hasta-40-de-decuento-662683,Servicios y suscripciones,Tarjetas de crédito y bancos,,,,,,,
168,Walmart: Volcán Dino Paw Patrol,378.0,,False,Walmart,iran.flores,2021-10-25,,https://www.promodescuentos.com/ofertas/volcan-dino-paw-patrol-662680,"Familia, bebés y niños",,,,,,,,
196,Sephora: (Envío gratis sin mínimo de compra),,,True,Sephora,cachorro12,2021-10-25,,https://www.promodescuentos.com/ofertas/sephora-envio-gratis-sin-minimo-de-compra-662676,Salud y belleza,Maquillaje,,,,,,,
-151,H&M: Bonificación al comprar desde $600 (Solo para miembros H&M),,,False,H&M,pipis.agui,2021-10-25,,https://www.promodescuentos.com/ofertas/hm-662677,Ropa y accesorios,Ropa,,,,,,,
468,Elektra Salamanca: Moto e7 al 2x1 con crédito elektra,1750.0,,False,Elektra,Oliverbv,2021-10-25,Local,https://www.promodescuentos.com/ofertas/elektra-moto-e7-al-2x1-662675,Tecnología,Celulares,Celulares y telefonía,Vehículos,Motorola,,,,
72,Liverpool: Figura de Colección Johnny Silverhand POP! Cyberpunk 2077,149.0,,True,Liverpool,HDanO,2021-10-25,,https://www.promodescuentos.com/ofertas/figura-de-coleccion-johnny-silverhand-pop-cyberpunk-2077-662673,"Familia, bebés y niños",Juguetes,Figuras de acción y playsets,Funko,,,,,
451,"Amazon: Matraca para espacios reducidos de 1/4"" sin palanca GearWrench",264.0,609.0,True,Amazon,elyici,2021-10-25,United States,https://www.promodescuentos.com/ofertas/matraca-para-espacios-reducidos-de-14-sin-palanca-gearwrench-662672,Jardín y hazlo tú mismo,Herramientas,Hazlo tú mismo,,,,,,
201,"Amazon: Salandens Juego de Bandas de Resistencia,11 pcs bandas de resistencia para ejercicio.",259.0,899.0,True,Amazon,Panini,2021-10-25,,https://www.promodescuentos.com/ofertas/salandens-juego-de-bandas-de-resistencia11-pcs-bandas-de-resistencia-para-ejercicio-662671,Deportes y ejercicio,Fitness y running,Aparatos de ejercicio,,,,,,
320,Bodega Aurrera: Dispensador de agua fría y caliente con almacenamiento,1060.0,,False,BodegaAurrera,SOYMANIATICO,2021-10-25,,https://www.promodescuentos.com/ofertas/dispensador-de-agua-fria-y-caliente-con-almacenamiento-662670,Hogar,Accesorios de hogar y cocina,,,,,,,
222,Amazon: Baterías recargables + cargador Eneloop Panasonic,890.0,,True,Amazon,Marcos_G,2021-10-25,,https://www.promodescuentos.com/ofertas/baterias-recargables-cargador-662667,Tecnología,Accesorios electrónicos,Cargadores,Pilas,,,,,
19,Amazon: Teclado Mecanico KM-X80,220.0,,True,Amazon,ARQUITECTOJORGE,2021-10-25,,https://www.promodescuentos.com/ofertas/teclado-mecanico-km-x80-662666,Tecnología,Computadoras y tablets,Accesorios de PC,Teclados,,,,,
284,"Amazon: Sun Zero Easton Blackout Energy Efficient Rod Pocket Curtain Panel, 40"" x 63"", Blush Pink",180.0,,True,Amazon,emartinez83,2021-10-25,United States,https://www.promodescuentos.com/ofertas/amazon-sun-zero-easton-blackout-energy-efficient-rod-pocket-curtain-panel-40-x-63-blush-pink-662664,Hogar,Decoración y accesorios para el hogar,,,,,,,
21,Amazon: Teclado y Mouse RGB Gamer,120.0,,True,Amazon,ARQUITECTOJORGE,2021-10-25,,https://www.promodescuentos.com/ofertas/teclado-y-mouse-rgb-gamer-662663,Tecnología,Computadoras y tablets,Accesorios de PC,Teclados,Mouse,,,,
311,"Amazon: Sun Zero Easton - Cortina con ojales opacos, Verde azulado",166.0,,True,Amazon,emartinez83,2021-10-25,,https://www.promodescuentos.com/ofertas/amazon-sun-zero-easton-cortina-con-ojales-opacos-verde-azulado-662660,Hogar,Decoración y accesorios para el hogar,,,,,,,
218,Coppel: Tenis Nike Hustle 10 PS (kids),529.0,,True,Coppel,Nubia_Delunna,2021-10-25,,https://www.promodescuentos.com/ofertas/tenis-nike-nino-662659,Ropa y accesorios,Calzado,Tenis,Nike,,,,,
83,Amazon: Funko Three Musketeers Mickey Exclusive Funkon,323.0,449.0,True,Amazon,Davcue,2021-10-25,United States,https://www.promodescuentos.com/ofertas/amazon-funko-three-musketeers-mickey-exclusive-funkon-662658,"Familia, bebés y niños",Juguetes,Figuras de acción y playsets,Funko,,,,,
166,Coppel: Tenis niño Nike Hustle D10,479.0,,True,Coppel,Nubia_Delunna,2021-10-25,,https://www.promodescuentos.com/ofertas/tenis-nino-nike-662657,Ropa y accesorios,Calzado,Tenis,Nike,,,,,
