Degrees,Product,Final_Price,Original_Price,Free_Shipping,Merchant,Username,Date,Origin,URL,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Category_7,Category_8,Category_9,top_comment_user,top_comment,thumbs_up
195,Mobo shop 2 x 1 en power banks,399.0,,False,,emartinez83,2021-10-26,,https://www.promodescuentos.com/ofertas/mobo-shop-2-x-1-en-power-banks-662859,Tecnología,Accesorios electrónicos,,,,,,,,,,
46,"Suburbia, Suéter La Mode cuello V",35.0,198.0,False,Suburbia,Ruben1079,2021-10-26,,https://www.promodescuentos.com/ofertas/sueter-la-mode-cuello-v-662858,Ropa y accesorios,Ropa,,,,,,,,,,
1152,Ihop: National Pancake Day Pancakes por $29,29.0,,False,IHOP,Cesar_VC,,,https://www.promodescuentos.com/ofertas/ihop-national-pancake-day-660948,Servicios y suscripciones,Restaurantes,,,,,,,,,,
-66,Amazon Tenis Talla 8 Skechers go Senderismo Doble Calibre Zapatos de Caminar para Hombre,814.0,1095.0,False,Amazon,psic,2021-10-26,,https://www.promodescuentos.com/ofertas/amazon-tenis-skechers-go-senderismo-doble-calibre-zapatos-de-caminar-para-hombre-662857,Ropa y accesorios,Calzado,Tenis,Zapatos,,,,,,,,
172,Walmart: Casco Star Wars The Black Series Imperial Stormtrooper,999.0,,False,Walmart,kike_realMC,2021-10-26,,https://www.promodescuentos.com/ofertas/casco-star-wars-the-black-series-imperial-stormtrooper-662856,"Familia, bebés y niños",Juguetes,,,,,,,,,,
53,Doto : 10% de descuento pagando con KueskiPay,10.0,,False,Doto,Pedro.ReyesMedina,2021-10-26,,https://www.promodescuentos.com/cupones/doto-10-de-descuento-pagando-con-kueskipay-662848,Tecnología,,,,,,,,,elemanuelsanchez,"Yo compré en doto a través de Kueski y la neta no hubo falla, me llegó antes de lo que esperaba. Entiendo que cada quien habla como le va en la feria, pero decir que es lo peor de lo peor no se me hace justo tampoco.",9
222,"Home Depot , Lavadora winia 19 kg",5249.0,10499.0,False,HomeDepot,ivan.monroyl8d,2021-10-26,Local,https://www.promodescuentos.com/ofertas/lavadora-winia-19-kg-662852,Hogar,Electrodomésticos,Lavadoras,,,,,,,,,
189,Amazon: FOREO LUNA Play Plus Cepillo de limpieza facial portátil,668.0,,False,Amazon,Karlie_cb,2021-10-26,,https://www.promodescuentos.com/ofertas/foreo-luna-play-plus-cepillo-de-limpieza-facial-portatil-662854,Salud y belleza,Higiene y cuidado personal,,,,,,,,,,
66,amazon: funko pop ned flanders diablo glow,312.0,,False,Amazon,alecha,2021-10-26,,https://www.promodescuentos.com/ofertas/amazon-funko-pop-ned-flanders-diablo-glow-662855,"Familia, bebés y niños",Juguetes,Figuras de acción y playsets,Funko,,,,,,,,
122,Amazon Skechers 32504 Zapatillas de Deporte para Mujer Número 23,693.0,1399.0,False,Amazon,emartinez83,2021-10-26,,https://www.promodescuentos.com/ofertas/amazon-skechers-32504-zapatillas-de-deporte-para-mujer-numero-23-662853,Ropa y accesorios,Ropa,Calzado,Ropa de mujer,Zapatos,,,,,,,
208,"Amazon Kasa Smart Plug multicontacto de 3 tomacorrientes independientes + 2 conexiones usb, compatible con alexa y google assistant",573.0,762.0,False,Amazon,emartinez83,2021-10-26,,https://www.promodescuentos.com/ofertas/amazon-kasa-smart-plug-multicontacto-de-3-tomacorrientes-independientes-2-conexiones-usb-compatible-con-alexa-y-google-assistant-662849,Tecnología,Hogar inteligente,Accesorios electrónicos,Smart Plug,Accesorios eléctricos,Multicontactos,,,,,,
-52,Walmart: MacBook Air 8GB 256G,21375.0,29000.0,False,Walmart,ChizpaM,2021-10-26,,https://www.promodescuentos.com/ofertas/macbook-air-8gb-256g-662847,Tecnología,Computadoras y tablets,Laptops,Apple,MacBook,MacBook Air,,,,,,
216,"RadioShack, DETECTOR DE HUMO LLOYD´S Modelo:SS-770 (PRECIO COMPRANDO 2 PIEZAS (2X1))",145.0,,False,RadioShack,edusistemas04,2021-10-26,,https://www.promodescuentos.com/ofertas/detector-de-humo-lloyds-modeloss-770-precio-comprando-2-piezas-2x1-662845,Hogar,Accesorios de hogar y cocina,,,,,,,,,,
564,Martí: Tenis Adidas,783.0,,False,Martí,roberto.casas,2021-10-26,,https://www.promodescuentos.com/ofertas/tenis-adidas-662844,Ropa y accesorios,Calzado,Tenis,Adidas,,,,,,,,
83,Radioshack: Bocina Bluetooth JBL Jr. Pop / Azul,450.0,,False,RadioShack,kraken,2021-10-26,,https://www.promodescuentos.com/ofertas/radioshack-bocina-bluetooth-jbl-jr-pop-azul-662842,Tecnología,Audio y equipos de sonido,Bocinas,,,,,,,,,
580,"Walmart, lámpara de mesa con luz led a 48 en su última liquidación.",48.0,399.0,False,Walmart,SASHA,2021-10-26,,https://www.promodescuentos.com/ofertas/walmart-lampara-de-mesa-con-luz-led-a-48-en-su-ultima-liquidacion-662841,Iluminación,Hogar,,,,,,,,,,
315,"Rappi, National Pancake Day",29.0,,False,Rappi,LissChávez,2021-10-26,Mexico,https://www.promodescuentos.com/ofertas/national-pancake-day-662839,Servicios y suscripciones,Restaurantes,Comida a domicilio,,,,,,,,,
148,Chedraui: 20% de descuento en Pinturas Vinílicas Pintamax de 19 lts calidad 3 años (Exclusiva tienda en línea),,,False,Chedraui,vlma,2021-10-26,,https://www.promodescuentos.com/ofertas/chedraui-20-de-descuento-en-pinturas-vinilicas-pintamax-de-19-lts-calidad-3-anos-exclusiva-tienda-en-linea-662836,Jardín y hazlo tú mismo,Hazlo tú mismo,Pinturas,,,,,,,,,
272,AMERICAN EAGLE/AERIE Gasta $500 o más en una tarjeta de regalo y obtén $250,,,False,AmericanEagle,macahui,2021-10-26,,https://www.promodescuentos.com/ofertas/american-eagleaerie-gasta-500-o-mas-en-una-tarjeta-de-regalo-y-obten-250-662835,Ropa y accesorios,Ropa,,,,,,,,,,
