Degrees,Product,Final_Price,Original_Price,Free_Shipping,Merchant,Username,Date,Origin,URL,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Category_7,Category_8,Category_9
196,Amazon: iPad 9 generación 2021 Space Gray 64Gb,8099.0,,True,Amazon,PromotorPD,2021-11-09,,https://www.promodescuentos.com/ofertas/ipad-9-generacion-2021-space-gray-64gb-668459,Tecnología,Computadoras y tablets,Tablets,Apple,iPad,iPad 2021,,,
201,Amazon: Echo Dot con Reloj (4ta Gen) + Foco Inteligente,1099.0,,True,Amazon,Alex19860,2021-11-09,,https://www.promodescuentos.com/ofertas/amazon-echo-dot-con-reloj-4ta-gen-foco-inteligente-668445,Tecnología,Audio y equipos de sonido,Hogar inteligente,Bocinas,Bocinas inteligentes,Amazon Echo,,,
127,Amazon: Nuevo Echo Show 5 (2da Gen) - Negro + Foco Inteligente,1299.0,,True,Amazon,Alex19860,2021-11-09,,https://www.promodescuentos.com/ofertas/amazon-nuevo-echo-show-5-2da-gen-negro-foco-inteligente-668443,Tecnología,Audio y equipos de sonido,Bocinas,Bocinas inteligentes,Amazon Echo,,,,
96,Linio: Amazon Echo 4 con hub con PayPal,1444.0,1699.0,True,Linio,Hector_LópezG,2021-11-09,,https://www.promodescuentos.com/ofertas/amazon-echo-4-con-hub-668442,Tecnología,Audio y equipos de sonido,Hogar inteligente,Bocinas,Bocinas inteligentes,Amazon Echo,,,
83,"Amazon: Echo Show 8"" con foco (2da gen)",2399.0,,True,Amazon,SuperDron,2021-11-09,,https://www.promodescuentos.com/ofertas/amazon-echo-show-8-con-foco-668460,Tecnología,Audio y equipos de sonido,Hogar inteligente,Iluminación,Bocinas,Bocinas inteligentes,Focos,Amazon Echo,
169,CyberPuerta: error de precio Aire acondicionado Aurus 2 toneladas,5699.0,,False,CyberPuerta,JosueGigabyte_,2021-11-09,,https://www.promodescuentos.com/ofertas/aire-acondicionado-aurus-2-toneladas-668444,Hogar,Computadoras y tablets,Electrodomésticos,Computadoras armadas,Aire acondicionado,Tratamiento del aire,,,
45,Amazon: SKULLCANDY Jib True - Auriculares in-Ear inalámbricos,559.0,,True,Amazon,Iron_Maiden,2021-11-09,,https://www.promodescuentos.com/ofertas/amazon-skullcandy-jib-true-auriculares-in-ear-inalambricos-668458,Tecnología,Audio y equipos de sonido,Audífonos,Audífonos In-Ear,Audífonos Skullcandy,,,,
42,Walmart Toreo | Macbook air M1 256Gb,20999.0,,False,Walmart,AlanTellitud,2021-11-09,Local,https://www.promodescuentos.com/ofertas/walmart-macbook-air-m1-256gb-668385,Tecnología,Computadoras y tablets,Laptops,Apple,MacBook,MacBook Air,,,
84,Amazon: Nuevo Echo Show 8 (2da gen),2229.0,3099.0,True,Amazon,Iron_Maiden,2021-11-09,,https://www.promodescuentos.com/ofertas/amazon-nuevo-echo-show-8-2da-gen-668457,Tecnología,Audio y equipos de sonido,Bocinas,Bocinas inteligentes,Amazon Echo,,,,
215,Dimercom: Tarjeta De Video AMD RX 550 2GB GDDR5,2255.0,2399.0,False,Dimercom,El_Mucho,2021-11-09,,https://www.promodescuentos.com/ofertas/tarjeta-de-video-amd-rx-550-2gb-gddr5-668456,Tecnología,Computadoras y tablets,Computadoras armadas,,,,,,
61,"Lacoste: Algunas polos L. 12.12 desde $916 (hay otras opciones interesantes a $1,145)",916.0,,False,Lacoste,Angel_Gwju,2021-11-09,,https://www.promodescuentos.com/ofertas/algunas-polos-l-1212-de-lacoste-desde-916-hay-otras-opciones-interesantes-a-1145-668433,Ropa y accesorios,Ropa,,,,,,,
181,Liverpool: Immortals Fenyx Rising Nintendo Switch,519.0,1599.0,True,Liverpool,Bugo,2021-11-09,Mexico,https://www.promodescuentos.com/ofertas/liverpool-immortals-fenyx-rising-nintendo-switch-668448,Videojuegos,Juegos,Juegos de Nintendo Switch,Nintendo,,,,,
237,Amazon: Blue Microphones - Snowball Ice - Microfono USB,734.0,,False,Amazon,FV13,2021-11-09,,https://www.promodescuentos.com/ofertas/blue-snowball-668452,Tecnología,,,,,,,,
79,Amazon: Echo con Hub + Foco Inteligente( EL GRANDE ),1799.0,,True,Amazon,Alex19860,2021-11-09,Mexico,https://www.promodescuentos.com/ofertas/amazon-echo-con-hub-el-grande-668432,Tecnología,Audio y equipos de sonido,Hogar inteligente,Bocinas,Bocinas inteligentes,Amazon Echo,,,
198,Walmart: Mochila de Senderismo Decathlon Quechua Nh100,90.0,,True,Walmart,Paola_S,2021-11-09,,https://www.promodescuentos.com/ofertas/mochila-senderismo-668447,Hogar,Accesorios de moda,Naturaleza y camping,Papelería y artículos de oficina,Hiking,Equipaje,Mochilas,,
186,Folleto de Walmart para este fin irresistible 2021 (Después de días de preventa),,,False,,Rulodejesus,2021-11-09,,https://www.promodescuentos.com/ofertas/folleto-de-walmart-para-este-fin-irresistible-668408,Tecnología,,,,,,,,
309,Amazon: Echo Show 5 (2da gen),1199.0,1999.0,True,Amazon,Daniel_LopezMxp,2021-11-09,,https://www.promodescuentos.com/ofertas/echo-show-5-2da-gen-668413,Tecnología,Audio y equipos de sonido,Hogar inteligente,Bocinas,Bocinas inteligentes,Amazon Echo,,,
302,Chedraui tienda en linea: Super smash bros ultimate,783.0,1045.0,False,Chedraui,LOCO2099,2021-11-09,,https://www.promodescuentos.com/ofertas/chedraui-tienda-en-linea-super-smash-bros-ultimate-668438,Videojuegos,Juegos,Juegos de Nintendo Switch,Nintendo,,,,,
168,Martí: MTB Bicicleta Alubike Sierra R-29,7499.0,9999.0,True,Martí,King.Michu,2021-11-09,,https://www.promodescuentos.com/ofertas/bicicleta-alubike-montana-mtb-sierra-r-29-668419,Deportes y ejercicio,Ciclismo y deportes urbanos,Ciclismo,,,,,,
358,"Amazon: Echo Dot (4ta Gen) con Lloyds Foco Inteligente WiFi, Multicolor + Luz Blanca Fría y Cálida, Negro",899.0,1698.0,True,Amazon,Daoh782,2021-11-09,,https://www.promodescuentos.com/ofertas/echo-dot-4ta-gen-con-lloyds-foco-inteligente-wifi-multicolor-luz-blanca-fria-y-calida-negro-668437,Tecnología,Audio y equipos de sonido,Hogar inteligente,Bocinas,Bocinas inteligentes,Amazon Echo,,,
273,Amazon: Ring Stick Up Cam Battery (Blanca) + Echo Show 5 (2da gen) - Negro,2175.0,,True,Amazon,Omarin,2021-11-09,,https://www.promodescuentos.com/ofertas/ring-stick-up-cam-battery-blanca-echo-show-5-2da-gen-negro-668436,Tecnología,Audio y equipos de sonido,Cámaras y fotografía,Bocinas,Bocinas inteligentes,Cámaras,Seguridad para el hogar,,
151,Walmart: Gimnasio Multifuncional Athletic Works MTDP-7081,5499.0,,True,Walmart,edualcocer1,2021-11-09,,https://www.promodescuentos.com/ofertas/walmart-gimnasio-multifuncional-athletic-works-mtdp-7081-668431,Deportes y ejercicio,Fitness y running,Aparatos de ejercicio,,,,,,
279,Amazon Buen Fin: Kindle E-reader $1349,1349.0,,False,Amazon,SenoritaTutsy,2021-11-09,,https://www.promodescuentos.com/ofertas/amazon-kindle-e-reader-1349-668416,Tecnología,Computadoras y tablets,E-Readers,Amazon Kindle,,,,,
101,Bodega Aurrera: Paquete de 4 “bonaizotes”,10.0,,False,BodegaAurrera,Chicarcas_Palazuelos,2021-11-09,Local,https://www.promodescuentos.com/ofertas/paquete-de-4-bonaizotes-668430,Abarrotes y alimentos,Alimentos,Helados,,,,,,
